Organization Name,City,Race/ethnic groups reached,Outreach languages,Population demographic characteristics,Outreach activities,OC Nonprofit Central profile
Give for A Smile,Anaheim,Latino / Latinx,"English, Spanish","Children under 5, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities","In-person events / gatherings, Media (TV, radio, newspapers), Phone banking, Tabling / flier distribution",None
OCCORD - Orange County Communities Organized for Responsible Development,Anaheim,Latino / Latinx,"English, Spanish","Immigrants / Refugees, Limited English speaking ability, Older adults / seniors","Door-to-door canvassing, In-person events / gatherings, Peer-to-peer / mass texting, Phone banking, Tabling / flier distribution, Virtual events / gatherings",None
VietRISE,Fountain Valley,"Asian American, Latino / Latinx","English, Spanish, Vietnamese","Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors","Door-to-door canvassing, In-person events / gatherings, Food / kit distribution, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Phone banking, Tabling / flier distribution, Virtual events / gatherings",None
Orange County Human Relations,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, People with disabilities","In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/oc-human-relations
Community Action Partnership of Orange County (CAP OC),Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Farsi, Spanish, Vietnamese","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","Door-to-door canvassing, In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/capoc
Hope Builders,Aliso Viejo,"Black & African American, Latino / Latinx, Non-Hispanic White",English,"Houseless individuals & families, Immigrants / Refugees, Low broadband subscription rate","In-person events / gatherings, Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/hope-builders
Hispanic Education Endowment Fund,Aliso Viejo,Latino / Latinx,"English, Spanish","Farmworkers, Immigrants / Refugees","In-person events / gatherings, Mailings, Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/hispanic-education-endowment-fund
The Malama Collective,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White",English,"Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Virtual events / gatherings",None
Crime Survivors Resource Center,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Volunteers and Parnters assist us with other languages when needed","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/crime-survivors-inc
Project Youth OC,Anaheim,"Latino / Latinx, Non-Hispanic White","English, Spanish","Houseless individuals & families, Limited English speaking ability","In-person events / gatherings, Food / kit distribution, Peer-to-peer / mass texting",https://www.ocnonprofitcentral.org/organizations/orange-county-bar-foundation
Straight Talk Clinic Inc.,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Hindi, Spanish","Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/straighttalkoc
Korean American Special Education Center,Anaheim,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Korean","Children under 5, Immigrants / Refugees, Limited English speaking ability, People with disabilities","In-person events / gatherings, Media (TV, radio, newspapers), Tabling / flier distribution, Virtual events / gatherings",None
Soroptimist International of Saddleback Valley,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White",English,"Immigrants / Refugees, Limited English speaking ability, Older adults / seniors","In-person events / gatherings, Media (TV, radio, newspapers), Tabling / flier distribution, Virtual events / gatherings",None
Project Hope Alliance,Anaheim,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Korean, Spanish","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, People with disabilities","In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution",None
Museum of Teaching and Learning,Anaheim,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","LGBTQ+, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Mailings, Virtual events / gatherings",None
Anaheim Family YMCA,Anaheim,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/ymca-of-anaheim
RevHubOC,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Chinese (Mandarin), Spanish, Vietnamese","LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, People with disabilities, Veterans","In-person events / gatherings, Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",None
Friends of Fullerton College Foundation,Anaheim,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Korean, Spanish, Vietnamese","Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, People with disabilities, Veterans","In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/friends-of-fullerton-college-foundation
"The Hankston Agency, SFG West Coast",Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Farmworkers, Houseless individuals & families, LGBTQ+, Older adults / seniors, People with disabilities, Veterans","Door-to-door canvassing, In-person events / gatherings, Mailings, Peer-to-peer / mass texting, Virtual events / gatherings",None
"Age Well Senior Services, Inc.",Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Tagalog","LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/age-well-senior-services-inc
Start Well ~ Infant/Early Childhood Mental Health Consultation,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish",Children under 5,"In-person events / gatherings, Mailings, Tabling / flier distribution, Virtual events / gatherings",None
Boys & Girls Club of Laguna Beach,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Non-Hispanic White",English,"Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Low broadband subscription rate, People with disabilities","In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/boys-and-girls-club-of-laguna-beach
Asociacion de Emprendedor@s,Anaheim,Latino / Latinx,Spanish,"Immigrants / Refugees, Limited English speaking ability, Older adults / seniors","In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Virtual events / gatherings",None
CIELO,Anaheim,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, Veterans","In-person events / gatherings, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/cielo
Need 4 Bridges,Anaheim,"Black & African American, Latino / Latinx",English,"Houseless individuals & families, People with disabilities","In-person events / gatherings, Mailings, Peer-to-peer / mass texting, Tabling / flier distribution",None
Backhausdance,Costa Mesa,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White",English,"Children under 5, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities","In-person events / gatherings, Mailings",https://www.ocnonprofitcentral.org/organizations/backhausdance
Alzheimer's Orange County,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish",Older adults / seniors,"In-person events / gatherings, Media (TV, radio, newspapers), Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/alzheimers-orange-county
Wellness & Prevention Center,Aliso Viejo,Latino / Latinx,"English, Spanish","LGBTQ+, Limited English speaking ability","In-person events / gatherings, Media (TV, radio, newspapers), Tabling / flier distribution",None
Peace and Justice Law Center,Anaheim,"Black & African American, Latino / Latinx",English,"Houseless individuals & families, Immigrants / Refugees","Door-to-door canvassing, In-person events / gatherings, Peer-to-peer / mass texting, Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/peace-and-justice-law-center
SCORE Orange County,Anaheim,Latino / Latinx,Spanish,"Immigrants / Refugees, Limited English speaking ability","In-person events / gatherings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Virtual events / gatherings",None
Voice of Refugees,Anaheim,Middle Eastern & North African,"English, Arabic, Farsi",Immigrants / Refugees,"In-person events / gatherings, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/vor
Families Forward,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Children under 5, Houseless individuals & families","In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/families-forward
Waymakers,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Korean, Spanish, Vietnamese, Translation services are accessible for all languages.","Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Media (TV, radio, newspapers), Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/waymakers
Serving Kids Hope,Anaheim,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Farsi, Spanish","Children under 5, Limited English speaking ability, People with disabilities","In-person events / gatherings, Media (TV, radio, newspapers), Virtual events / gatherings",None
Oak View ComUNIDAD,Huntington Beach,Latino / Latinx,"English, Spanish","Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","Door-to-door canvassing, In-person events / gatherings, Food / kit distribution, Peer-to-peer / mass texting, Phone banking, Tabling / flier distribution, Virtual events / gatherings",None
CEO Leadership Alliance Orange County,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White",English,Limited English speaking ability,"In-person events / gatherings, Virtual events / gatherings",None
Community Legal Aid SoCal,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Vietnamese","Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities","In-person events / gatherings, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/community-legal-aid-socal
SSA,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Arabic, Armenian, Chinese (Cantonese), Chinese (Mandarin), Farsi, Hindi, Japanese, Khmer, Korean, Russian, Spanish, Tagalog, Vietnamese,","Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Virtual events / gatherings",None
Thrive Together OC,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Non-Hispanic White","English, Arabic, Armenian, Chinese (Cantonese), Chinese (Mandarin), Farsi, Hindi, Japanese, Khmer, Korean, Russian, Spanish, Tagalog, Vietnamese","Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, People with disabilities, Veterans","In-person events / gatherings, Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",None
Fristers,Anaheim,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White",English,Children under 5,"In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",None
MOMS Orange County,Aliso Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Non-Hispanic White","English, Spanish, Vietnamese","Children under 5, Immigrants / Refugees, Limited English speaking ability","In-person events / gatherings, Mailings, Peer-to-peer / mass texting, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/moms-orange-county
LGBTQ Center OC,Anaheim,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors","In-person events / gatherings, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/gay-lesbian-community-services-center-of-orange-county
"Abrazar, Inc.",Brea,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Vietnamese","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, People with disabilities, Veterans","Door-to-door canvassing, In-person events / gatherings, Food / kit distribution, Phone banking, Tabling / flier distribution, Virtual events / gatherings",None
The Cambodian Family Community Center,Costa Mesa,"Asian American, Latino / Latinx","English, Khmer, Spanish, Vietnamese, Cham","Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors","Caravan / parade, Door-to-door canvassing, In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Phone banking, Tabling / flier distribution, Virtual events / gatherings",None
PHFE WIC Program,Cypress,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Arabic, Armenian, Chinese (Cantonese), Chinese (Mandarin), Farsi, Hindi, Japanese, Khmer, Korean, Russian, Spanish, Tagalog, Vietnamese","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability","In-person events / gatherings, Virtual events / gatherings",None
